keys,en
GAME_TITLE,HOUSE RULES
MENU_KICKER,VELVET DECO CASINO
MENU_SUBTITLE,"Three games. One bankroll. The house remembers."
MENU_CONTROLS,"[%s] Enter the casino\n[%s] Save and quit"
MENU_REDUCED_MOTION,[%s] REDUCED MOTION  %s
MENU_REDUCED_MOTION_HELP,Stops ambient movement and shortens transitions.
MENU_REDUCED_MOTION_ACCESSIBLE,Reduced motion: %s
SETTING_ON,ON
SETTING_OFF,OFF
HUD_CHIPS,CHIPS  %d
HUD_CREDITS,CREDITS
HUD_TEST_BANK,TEST BANK
HUD_DEBT,DEBT  %d
CONTRACTS_HEADING,CONTRACTS
CONTRACT_LINE,%s  %d/%d  +%d
CONTRACT_COMPLETE,Contract complete: %s  +%d chips
CONTRACT_SLOT_ROUNDS,Pull the arm 25 times
CONTRACT_SLOT_THREE_KIND,Land three of a kind
CONTRACT_SLOT_DIAMONDS,Land three DIAMOND
CONTRACT_BLACKJACK_WINS,Win 5 blackjack hands
CONTRACT_BLACKJACK_NATURAL,Be dealt a natural 21
CONTRACT_BLACKJACK_DOUBLE,Win a doubled hand
CONTRACT_VAULT_SAFE_EIGHT,Clear 8 vault tiles
CONTRACT_VAULT_TEN_X,Cash out above 10x
CONTRACT_VAULT_TEN_MINES,Survive with 10+ mines
CONTRACT_ALL_CABINETS,Play all three cabinets
CABINET_SLOT_CLASSIC_NAME,CLASSIC 3-REEL
CABINET_BLACKJACK_NAME,BLACKJACK 21
CABINET_MINEFIELD_VAULT_NAME,MINEFIELD VAULT
FLOOR_PROMPT,"%s\n%d–%d chips  [%s] Play"
FLOOR_UNAVAILABLE,"%s\nNeeds %d chips"
FLOOR_HELP,Move with %s.  [%s] Menu
FLOOR_JOIN_DIALOG,"%s  ·  BET %d–%d CHIPS\n[%s] JOIN    [%s] CLOSE"
CASHIER_NAME,CASHIER
CASHIER_PROMPT,[%s] Visit cashier
CASHIER_WAYPOINT,CASHIER  ·  100-CHIP MARKER
CASHIER_ACTIONS,[%s] Select   [%s] Confirm   [%s] Leave
CASHIER_CHIPS,CHIPS  %d
CASHIER_TEST_BANK,TEST BANK  ∞
CASHIER_DEBT,MARKER DEBT  %d
CASHIER_NO_DEBT,NO OUTSTANDING MARKER
CASHIER_REPAY_AMOUNT,REPAYMENT AMOUNT
CASHIER_REPAY_VALUE,%d CHIPS
CASHIER_PAY_ALL,PAY ALL
CASHIER_TAKE_MARKER,TAKE 100 MARKER
CASHIER_ADD_TEST_MARKER,ADD TEST DEBT +100
CASHIER_CONFIRM_REPAY,REPAY %d CHIPS
CASHIER_PREVIEW,AFTER PAYMENT  CHIPS %d  ·  DEBT %d
CASHIER_PREVIEW_TEST,AFTER PAYMENT  TEST BANK ∞  ·  DEBT %d
CASHIER_CLOSE,CLOSE
WING_HIGH_ROLLER,HIGH-ROLLER STAIRCASE
WING_VIP,VIP ELEVATOR
WING_LOCKED,%s LOCKED\nRequires %d lifetime wagered
CABINET_STAKE,STAKE  %d
CABINET_CONTROLS,[%s] Play   %s: Stake   [%s] Leave
STAKE_BET,BET
BET_TOTAL,TOTAL BET
BET_AFTER,AFTER BET  %d
BET_NEED_CASHIER,NEED %d CREDITS · VISIT CASHIER
BET_IN_PLAY,IN PLAY
HELP_BUTTON,?  HOW TO PLAY
HELP_TITLE,HOW TO PLAY — %s
HELP_RULES,RULES
HELP_CONTROLS,CONTROLS
HELP_CLOSE_HINT,%s or Back closes this guide
EXIT_CONFIRM_TITLE,LEAVE THIS GAME?
EXIT_CONFIRM_MESSAGE,Leave now and forfeit %d chips?
EXIT_CONFIRM_CANCEL,KEEP PLAYING
EXIT_CONFIRM_LEAVE,LEAVE & FORFEIT
HELP_SLOT_CLASSIC_RULES,"The center payline decides the round.

Match three symbols to win. Two cherries also pay.

Higher bets multiply both cost and payout."
HELP_SLOT_CLASSIC_CONTROLS,"[%s] Spin

%s  Change bet

[%s] Leave"
HELP_BLACKJACK_RULES,"Reach 21 without going over.

Dealer stands on 17. A natural blackjack pays 3:2.

Double is available only on the opening two cards."
HELP_BLACKJACK_CONTROLS,"[%s] Deal / Hit

[%s] Stand

[%s] Double

%s  Change bet

[%s] Leave"
HELP_MINEFIELD_VAULT_RULES,"Choose risk before the round.

Every safe box raises the multiplier. Cash out before finding a mine.

More mines mean higher rewards."
HELP_MINEFIELD_VAULT_CONTROLS,"[%s] Open

[%s] Cash out

%s  Change bet

%s  Choose mines

[%s] Leave"
SLOT_SPIN,SPIN
SLOT_CENTER_PAYLINE,CENTER PAYLINE
SLOT_LAST_WIN,RETURNED  %d
SLOT_RETURNED,WIN  %d
SLOT_RESULT_FORMULA,BET %d × %d = %d
SLOT_IDLE_FORMULA,BET %d · CENTER LINE PAYS
SLOT_BET_IN_PLAY,BET %d IN PLAY
ROUND_READY,Choose your stake.
ROUND_SPINNING,Reels spinning…
ROUND_RESULT,Stake %d · Returned %d
BLACKJACK_DECIDE,Hit / Stand / Double
BLACKJACK_DOUBLE_UNAVAILABLE,Double is only available on your opening two cards with enough credits
BLACKJACK_DEALER,DEALER
BLACKJACK_PLAYER,PLAYER
BLACKJACK_TOTAL,TOTAL %d
BLACKJACK_SHOWING,SHOWING %d
BLACKJACK_HANDS,"PLAYER  %s\n\nDEALER  %s\n\nAce = 1 (or 11) · J / Q / K = 10"
BLACKJACK_CONTROLS,[%s] Deal / Hit   [%s] Stand   [%s] Double   %s: Stake   [%s] Leave
VAULT_REVEAL,Reveal a box or cash out after a safe reveal.
VAULT_GRID,"MINES %d   MULTIPLIER %.2f×\nCASH OUT %d"
VAULT_CONTROLS,[%s] Open   [%s] Cash out   %s: Stake   %s: Mines   [%s] Leave
INPUT_ENTER,Enter
INPUT_ESCAPE,Esc
INPUT_A,A
INPUT_B,B
INPUT_X,X
INPUT_Y,Y
INPUT_AD,A / D
INPUT_WS,W / S
INPUT_WASD,WASD
INPUT_DPAD,D-pad
INPUT_F1,F1
INPUT_MENU,Menu
ACTION_DEAL,DEAL
ACTION_HIT,HIT
ACTION_STAND,STAND
ACTION_DOUBLE,DOUBLE
ACTION_DOUBLE_TO,DOUBLE TO %d
ACTION_ENTER,ENTER VAULT
ACTION_OPEN,OPEN BOX
ACTION_CASH_OUT,CASH OUT
INPUT_STICK_HORIZONTAL,Left stick / D-pad left-right
INPUT_STICK_VERTICAL,Left stick / D-pad up-down
INPUT_STICK_DPAD,Left stick / D-pad
SYMBOL_0,CHERRY
SYMBOL_1,LEMON
SYMBOL_2,BELL
SYMBOL_3,BAR
SYMBOL_4,SEVEN
SYMBOL_5,DIAMOND
CARD_1,A
CARD_11,J
CARD_12,Q
CARD_13,K
SAVE_INCOMPATIBLE,This save is from a newer version. It has not been changed.
SAVE_CORRUPT,Unreadable save preserved. A new game has started.
SAVE_PRESERVE_FAILED,Could not preserve the unreadable save. Saving is disabled.
SAVE_FAILED,Could not save. Check available storage and try again.
GAMEPAD_RECONNECT,Controller disconnected. Reconnect a controller to continue.
